style,brand,main,n_gallery,gallery_urls
102,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/102/102-arctic-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/102/102-arctic-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/102/102-arctic-02.webp
1301,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1301/1301-ash-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1301/1301-ashgrey-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1301/1301-ashgrey-02.webp
1304,American Apparel,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1304/1304-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1304/1304-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1304/1304-black-02.webp
1466,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1466/1466-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1466/1466-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1466/1466-black-02.webp
1467,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1467/1467-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1467/1467-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1467/1467-black-02.webp
1468,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1468/1468-bluejean-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1468/1468-bluejean-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1468/1468-bluejean-02.webp
1469,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1469/1469-bluejean-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1469/1469-bluejean-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1469/1469-bluejean-02.webp
1545,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1545/1545-amethyst-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1545/1545-amethyst-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1545/1545-amethyst-02.webp
1566,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1566/1566-bluespruce-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1566/1566-bluespruce-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1566/1566-bluespruce-02.webp
1567,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1567/1567-bluejean-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1567/1567-bluejean-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1567/1567-bluejean-02.webp
1717,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1717/1717-bay-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1717/1717-bay-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1717/1717-bay-02.webp
1745,Comfort Colors,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1745/1745-amethyst-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1745/1745-amethyst-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/1745/1745-amethyst-02.webp
