decoration_name,count,type,sample_skus,KEEP_or_DROP
Full Colour Digital Transfer,52,Local,PS4106 PS4004 PS4701,
Digital Print Per Pos,39,Local,PS2012 PS1003 BB5001,
Screen Print Per Col/Pos,38,Local,PS4106 PS4004 PS4701,
Drinkwares Screen Print 1 Col Only,25,Local,PS2012 BB5001 BB5002,
Drinkwares Pad Print Per Col/Pos,25,Local,PS2012 BB5001 BB5002,
Laser Engrave 1 Position,24,Local,PS2012 BB5001 BB5002,
Embroidery Cap,23,Local,5001 5002 5003,
PU Badge (2-3 Weeks Leadtime),23,Local,5001 5002 5003,
DTF Cap,23,Local,5001 5002 5003,
Drinkware Full Colour Rotary Print - Gloss,22,Local,PS2012 BB5001 BB5002,
Drinkware Full Colour Rotary Print,22,Local,PS2012 BB5001 BB5002,
Metal Badge (2-3 Weeks Leadtime),22,Local,5001 5002 5003,
Silicone Badge (2-3 Weeks Leadtime),21,Local,5001 5002 5004,
Embroidery,18,Local,OCT100KID OCT100MS OCA100,
Direct to Film (DTF),17,Local,OCT100KID OCT100MS OCA100,
Direct to Garment (DTG),16,Local,OCT100KID OCT100MS OCT100LS,
Laser Engraving 1 Pos,10,Local,PS1101 PS1103 PS1112,
Full Colour Front Label,9,Local,PSSAN01 PSSUN01 PSSUN02,
Setup Cost,8,Local,PS8113 PS8118 PS8119,
Pad Print Per Col/Pos,8,Local,PS1301 PS1404 PS8312,
Plastic Pen Pad Print Per Col/Pos,7,Local,PS1003 PS1005 PS1008,
Metal Pen Pad Print Per Col/Pos,7,Local,PS1101 PS1103 PS1112,
Notebooks Pad Print Per Col/Pos,6,Local,PS7001 PS7006 PS7011,
Digital UV Label,6,Local,PS4350 PS4351 PS4352,
Packing Fee for Pen Box,5,Local,PS1600 PS1601 PS1602,
Debossing (3 Week Lead Time),4,Local,PS7001 PS7006 PS7011,
Full Colour Digital Transfer (Leadtime: 2-3 Weeks),4,Local,PS4506 PS4507 PS4510,
Super Print Sticker Per Position,4,Local,PS2810 PS8330 PS2232,
Safety Breakaway,4,Local,PS6005-1 PS6005-2 PS6001-1,
Digital Transfer Full Colour Per Position,4,Local,5101 5103 5105,
Embroidery upto 10K Stitches and 6 Colours,4,Local,5101 5103 5102,
Full Colour Digital Print,3,Local,PS7001 PS7005 PS7013,
Digital Print One Positon,3,Local,PS9212 PS1404 PS9220,
Pad Print Additional Col/ Pos,3,Local,PS2228S PS2228M PS2223M,
Digital Print per position,3,Local,PS2228S PS2228M PS2223M,
Debossing with Gold/Silver Infill  (3 Week Lead Time),3,Local,PS7006 PS7011 PS7015,
Extra Colour Per Position,3,Local,PS8118 PS8115 PS8116,
Personalised EmbroideryPer Position,3,Local,5101 5103 5104,
Sublimation Print,2,Local,PS2501 PS2502,
Digital Print,2,Local,PS8401 PS8402,
One Colour Print Per Pos,2,Local,PS6001-1 PS6003-1,
Beach Balls Pad Print 1Col 1pos Only,2,Local,PS8001 PS8002,
Pad Print Per Col/ Pos,2,Local,PS1341 PS9204,
Embroidery upto 10K Stitches and within 6 Colours,2,Local,PS8510 PS8511,
Pad Print for Enamel Mugs Per Col/Pos,1,Local,PS2810,
Digital Sticker Per Position,1,Local,PS500X18,
Laser Engraving Per Pos,1,Local,PS8330,
Lanyard Full Colour Print Per Position,1,Local,PS6010,
Full Colour Digital Label,1,Local,PS9120,
Lunch Box Pad Print,1,Local,PS9202,
Digital Print Lunch Box,1,Local,PS9202,
Digital Transfer,1,Local,PS9211,
Laser Engrave Bamboo Charger,1,Local,PS9301,
