product_code,product_name,has_image,main_image_url,alt_image_count,all_image_urls
PS2012,Brit Bottle - 500ML Double Wall,Y,https://media.intexglobal.com/app/uploads/PS2012-MAIN-1.jpg,24,https://media.intexglobal.com/app/uploads/PS2012-MAIN-1.jpg | https://media.intexglobal.com/app/uploads/PS2012-BABY-BLUE.jpg | https://media.intexglobal.com/app/uploads/PS2012-BABY-PINK.jpg | https://media.intexglobal.com/app/uploads/PS2012-BLACK.jpg | https://media.intexglobal.com/app/uploads/PS2012-BOTTLE-GREEN.jpg | https://media.intexglobal.com/app/uploads/PS2012-CHARCOAL.jpg | https://media.intexglobal.com/app/uploads/PS2012-CREAM.jpg | https://media.intexglobal.com/app/uploads/PS2012-CRIMSON.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT1.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT2.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT3.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT6.jpg | https://media.intexglobal.com/app/uploads/PS2012-LILAC.jpg | https://media.intexglobal.com/app/uploads/PS2012-MINT.jpg | https://media.intexglobal.com/app/uploads/PS2012-NAVY.jpg | https://media.intexglobal.com/app/uploads/PS2012-RUST.jpg | https://media.intexglobal.com/app/uploads/PS2012-WHITE.jpg | https://media.intexglobal.com/app/uploads/PS2012-DECO1.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT5.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT4.jpg | https://media.intexglobal.com/app/uploads/PS2012-FT7.jpg | https://media.intexglobal.com/app/uploads/PS2012-Band-Colours.png | https://media.intexglobal.com/app/uploads/PS2012-With-Band.png | https://media.intexglobal.com/app/uploads/PS2012-MAIN-1.jpg | https://media.intexglobal.com/app/uploads/PS2012-HOT-PINK-1.png
OCT100KID,Kids Essential Tee,Y,https://media.intexglobal.com/app/uploads/OCT100KID-MAIN.jpg,23,https://media.intexglobal.com/app/uploads/OCT100KID-MAIN.jpg | https://media.intexglobal.com/app/uploads/OCT100KID-ARMY-GREEN.png | https://media.intexglobal.com/app/uploads/OCT100KID-BLACK.jpg | https://media.intexglobal.com/app/uploads/OCT100KID-BOTTLE-GREEN.png | https://media.intexglobal.com/app/uploads/OCT100KID-CHARCOAL.png | https://media.intexglobal.com/app/uploads/OCT100KID-CHOCOLATE.png | https://media.intexglobal.com/app/uploads/OCT100KID-DAISY-YELLOW.png | https://media.intexglobal.com/app/uploads/OCT100KID-GOLD.png | https://media.intexglobal.com/app/uploads/OCT100KID-GREY.png | https://media.intexglobal.com/app/uploads/OCT100KID-HOT-PINK.png | https://media.intexglobal.com/app/uploads/OCT100KID-LIME-GREEN.png | https://media.intexglobal.com/app/uploads/OCT100KID-MAROON.png | https://media.intexglobal.com/app/uploads/OCT100KID-MOCHA.png | https://media.intexglobal.com/app/uploads/OCT100KID-NAVY.png | https://media.intexglobal.com/app/uploads/OCT100KID-ORANGE.png | https://media.intexglobal.com/app/uploads/OCT100KID-PINK.png | https://media.intexglobal.com/app/uploads/OCT100KID-PURPLE.png | https://media.intexglobal.com/app/uploads/OCT100KID-RED.png | https://media.intexglobal.com/app/uploads/OCT100KID-ROYAL.png | https://media.intexglobal.com/app/uploads/OCT100KID-SKY-BLUE.png | https://media.intexglobal.com/app/uploads/OCT100KID-TURQUOISE.png | https://media.intexglobal.com/app/uploads/OCT100KID-WHITE.png | https://media.intexglobal.com/app/uploads/OCT100KID-YELLOW.png | https://media.intexglobal.com/app/uploads/OCT100KID-MAIN.jpg
PS4106,Montana Calico Coloured Tote Bag,Y,https://media.intexglobal.com/app/uploads/PS4106-MAIN.jpg,7,https://media.intexglobal.com/app/uploads/PS4106-MAIN.jpg | https://media.intexglobal.com/app/uploads/PS4106-BLACK.png | https://media.intexglobal.com/app/uploads/PS4106-LOGO1.jpg | https://media.intexglobal.com/app/uploads/PS4106-MAIN.jpg | https://media.intexglobal.com/app/uploads/PS4106-NATURAL.png | https://media.intexglobal.com/app/uploads/PS4106-RED.png | https://media.intexglobal.com/app/uploads/PS4106-WHITE.png | https://media.intexglobal.com/app/uploads/PS4106-BLUE.png
PS4004,Detroit Tote Bag,Y,https://media.intexglobal.com/app/uploads/PS4004-MAIN-2.jpg,16,https://media.intexglobal.com/app/uploads/PS4004-MAIN-2.jpg | https://media.intexglobal.com/app/uploads/PS4004-BLACK.jpg | https://media.intexglobal.com/app/uploads/PS4004-BLUE.jpg | https://media.intexglobal.com/app/uploads/PS4004-BOTTLE-GREEN.jpg | https://media.intexglobal.com/app/uploads/PS4004-GREEN.jpg | https://media.intexglobal.com/app/uploads/PS4004-GREY.jpg | https://media.intexglobal.com/app/uploads/PS4004-MAROON.jpg | https://media.intexglobal.com/app/uploads/PS4004-NAVY.jpg | https://media.intexglobal.com/app/uploads/PS4004-ORANGE.jpg | https://media.intexglobal.com/app/uploads/PS4004-PINK.jpg | https://media.intexglobal.com/app/uploads/PS4004-PURPLE.jpg | https://media.intexglobal.com/app/uploads/PS4004-RED.jpg | https://media.intexglobal.com/app/uploads/PS4004-ROYAL-BLUE.jpg | https://media.intexglobal.com/app/uploads/PS4004-WHITE.jpg | https://media.intexglobal.com/app/uploads/PS4004-YELLOW.jpg | https://media.intexglobal.com/app/uploads/PS4000-FT25.jpg | https://media.intexglobal.com/app/uploads/PS4004-MAIN-2.jpg
PS2501,White Sublimation Mug - 330Ml,Y,https://media.intexglobal.com/app/uploads/PS2501-MAIN-scaled.jpg,4,https://media.intexglobal.com/app/uploads/PS2501-MAIN-scaled.jpg | https://media.intexglobal.com/app/uploads/PS2501-FT1-scaled.jpg | https://media.intexglobal.com/app/uploads/PS2501-FT2.jpg | https://media.intexglobal.com/app/uploads/PS2501-FT3.jpg | https://media.intexglobal.com/app/uploads/PS2501-MAIN-scaled.jpg
PS7001,A5 Notebook,Y,https://media.intexglobal.com/app/uploads/PS7001-MAIN.png,14,https://media.intexglobal.com/app/uploads/PS7001-MAIN.png | https://media.intexglobal.com/app/uploads/PS7001-BLACK.png | https://media.intexglobal.com/app/uploads/PS7001-FT1.png | https://media.intexglobal.com/app/uploads/PS7001-FT2.png | https://media.intexglobal.com/app/uploads/PS7001-FT3.png | https://media.intexglobal.com/app/uploads/PS7001-LIGHT-GREEN.png | https://media.intexglobal.com/app/uploads/PS7001-MAIN.png | https://media.intexglobal.com/app/uploads/PS7001-NAVY.png | https://media.intexglobal.com/app/uploads/PS7001-ORANGE.png | https://media.intexglobal.com/app/uploads/PS7001-PINK.png | https://media.intexglobal.com/app/uploads/PS7001-PURPLE.png | https://media.intexglobal.com/app/uploads/PS7001-RED.png | https://media.intexglobal.com/app/uploads/PS7001-SKY-BLUE.png | https://media.intexglobal.com/app/uploads/PS7001-WHITE.png | https://media.intexglobal.com/app/uploads/PS7001-YELLOW.png
PS1003,Kingsford,Y,https://media.intexglobal.com/app/uploads/PS1003-MAIN.png,6,https://media.intexglobal.com/app/uploads/PS1003-MAIN.png | https://media.intexglobal.com/app/uploads/PS1003-BLACK.png | https://media.intexglobal.com/app/uploads/PS1003-BLUE.png | https://media.intexglobal.com/app/uploads/PS1003-MAIN.png | https://media.intexglobal.com/app/uploads/PS1003-ORANGE.png | https://media.intexglobal.com/app/uploads/PS1003-RED.png | https://media.intexglobal.com/app/uploads/PS1003_GREEN.png
PS3306,Thunder Cheering Sticks,Y,https://media.intexglobal.com/app/uploads/PS3306-MAIN.png,9,https://media.intexglobal.com/app/uploads/PS3306-MAIN.png | https://media.intexglobal.com/app/uploads/PS3306-BLUE.png | https://media.intexglobal.com/app/uploads/PS3306-GREEN.png | https://media.intexglobal.com/app/uploads/PS3306-MAIN.png | https://media.intexglobal.com/app/uploads/PS3306-ORANGE.png | https://media.intexglobal.com/app/uploads/PS3306-PURPLE.png | https://media.intexglobal.com/app/uploads/PS3306-RED.png | https://media.intexglobal.com/app/uploads/PS3306-WHITE.png | https://media.intexglobal.com/app/uploads/PS3306-YELLOW.png | https://media.intexglobal.com/app/uploads/PS3306-FT1.png
PS5010,Tiger Usb Flash Drive,Y,https://media.intexglobal.com/app/uploads/PS5010-MAIN.png,9,https://media.intexglobal.com/app/uploads/PS5010-MAIN.png | https://media.intexglobal.com/app/uploads/PS5010-BLACK.png | https://media.intexglobal.com/app/uploads/PS5010-BLUE.png | https://media.intexglobal.com/app/uploads/PS5010-LIGHT-GREEN.png | https://media.intexglobal.com/app/uploads/PS5010-MAIN.png | https://media.intexglobal.com/app/uploads/PS5010-PINK.png | https://media.intexglobal.com/app/uploads/PS5010-PURPLE.png | https://media.intexglobal.com/app/uploads/PS5010-RED.png | https://media.intexglobal.com/app/uploads/PS5010-WHITE.png | https://media.intexglobal.com/app/uploads/PS5010-YELLOW.png
PS5100,Snazzy Crew Jacquard Socks,Y,https://media.intexglobal.com/app/uploads/PS5100-MAIN-2.jpg,8,https://media.intexglobal.com/app/uploads/PS5100-MAIN-2.jpg | https://media.intexglobal.com/app/uploads/PS5100-MAIN-2.jpg | https://media.intexglobal.com/app/uploads/PS5100-FT1-scaled.jpg | https://media.intexglobal.com/app/uploads/PS5100-FT4-scaled.jpg | https://media.intexglobal.com/app/uploads/PS5100-FT6-scaled.jpg | https://media.intexglobal.com/app/uploads/PS5100-FT7-scaled.jpg | https://media.intexglobal.com/app/uploads/PS5100-LOGO1-scaled.jpg | https://media.intexglobal.com/app/uploads/PS5100-LOGO3-scaled.jpg | https://media.intexglobal.com/app/uploads/SOCKS-Packaging-Options.png
