supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL0199,Tasktamer Desk Mat,Digital Transfer: ,Sublimation - White Mat Only: 750 x 300mm (LxW); Screen Print: 320 x 210mm (LxW); Digital Transfer: 210 x 297mm or 180 x 90mm (LxW),1 Pos Screen Print | 1 Pos Digital Transfer - 180 x 90mm (LxW) | 1 Pos Digital Transfer - 210 x 297mm (LxW) | 1 Pos Dye Sublimation - White Mat Only | Variable Data - Digital Transfer or Sublimation
LL0439,Kick Coffee Cup / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0443,Kick Cup Crystal / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0444,Kick Coffee Cup with Jelly Beans,Digital Print: Sleeve,"Digital Label: Jelly Beans - 50 x 50mm (LxH), 45mm Dia, 55 x 30mm (LxH); Screenprint: Silicone Sleeve - 75 x 38mm (LxH) ,  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",2 Pos Print (1 Screen Print + 1 Digital Label) | 1 Col 1 Pos Print on Silicone Band | Digital Label on Jelly Beans | Natural Gift Box | Natural Gift Box + Digital Sleeve | Digital Sleeve with Variable Data
LL0453,Kick Eco Coffee Cup / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0519,Nova Power Bank,Digital Print: Standard Power Bank; Digital Print: Power Bank; Screen Print: Case - Front/Back,"Digital Print: Standard Power Bank - 70 x 50mm (LxH),  Edge to edge Power Bank - 135 x 67mm (LxH),  Power Bank - 60 x 50mm (LxH),  Case - 60 x 50mm (LxH),  Sleeve - full coverage; Digital Label: Box - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Case - Front/Back - 100 x 50mm (LxH)","1 Pos Digital Print | 1 Pos Digital Print - Edge to Edge | 1 Pos Digital Label on Box | LL6674 Medium EVA Zipper Case 1 Col 1 Pos | LL6674 Medium EVA Zipper Case 1 Pos Digital | Digital Sleeve on Box | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box"
LL0944,Tourist A5 Notebook,Digital Label: Front,"Screen Print (Max 1 colour print): Front or Back - 100 x 178mm (LxW); Digital Label: Front - 71mm Dia.,  Inside Front Cover - 93.1 x 99.1mm (LxW)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Label on Front Cover | Variable Data - Digital Label | 1 Pos Label on Inside Front Cover
LL0950,Savannah Notebook,Digital Label: Front of Notebook; Digital Label: Front of Notebook; Digital Label: Front of Notebook,"Screenprint: Front of Notebook - 80 x 110mm (LxH),  Back of Notebook - 60 x 100mm (LxH); Digital Label: Front of Notebook - 45mm Dia. ,  Front of Notebook -  50 x 50mm (LxH),  Front of Notebook -  70 x 40mm (LxH),  Inside Front Cover - 65 x 95mm (LxH); Digital Print: Front of Notebook - 70 x 80mm (LxH) ,  Back of Notebook - 90 x 140mm (LxW)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Print | 2 Pos Digital Print | 1 Pos Digital Label on Front Cover | Variable Data - Digital Print or Label with ID Label | 1 Pos Label on Inside Front Cover
LL0997,Eagle Coffee Cup,Rotary Screen Print: ,Digital Print: 30mm x 55mm (LxW); Laser Engrave:  30mm x 55mm (LxW); Rotary Digital: 252mm x 65mm (LxW); Rotary Screen Print: 230mm x 60mm (LxW); Digital Sleeve: Digital Sleeve on Box - 358 x 160mm (LxW),"Rotary Screen Print | 1 Pos Digital Print | 1 Pos Laser Engrave | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print, Digital Sleeve or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box"
LL1023,Rizz Coffee Cup,Rotary Screen Print: ,Laser Engrave: 30mm x 70mm (LxW); Rotary Screen Print: 230mm x 70mm (LxW); Rotary Digital: 273mm x 90mm (LxW); Digital Print: 30mm x 70mm (LxW),1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box
