slug,page_type,source_type,source_label,filter_type,required_product_fields,product_filter
promotional-giveaways-australia,product_category,category,Giveaways & Event Accessories,category,category; is_published,"{""type"":""category"",""category"":""Giveaways & Event Accessories""}"
outdoor-promotional-products-australia,product_category,category,Outdoor & Sports,category,category; is_published,"{""type"":""category"",""category"":""Outdoor & Sports""}"
branded-homewares-australia,product_category,category,Home & Living,category,category; is_published,"{""type"":""category"",""category"":""Home & Living""}"
branded-travel-accessories-australia,product_category,category,Travel,category,category; is_published,"{""type"":""category"",""category"":""Travel""}"
branded-tools-and-car-accessories-australia,product_category,category,Tools & Auto,category,category; is_published,"{""type"":""category"",""category"":""Tools & Auto""}"
branded-barware-australia,product_category,category,Barware & Accessories,category,category; is_published,"{""type"":""category"",""category"":""Barware & Accessories""}"
custom-keyrings-australia,product_category,category,Key Rings,category,category; is_published,"{""type"":""category"",""category"":""Key Rings""}"
trade-show-displays-australia,product_category,category,Flags & Displays,category,category; is_published,"{""type"":""category"",""category"":""Flags & Displays""}"
printed-marketing-materials-australia,product_category,category,Marketing Materials,category,category; is_published,"{""type"":""category"",""category"":""Marketing Materials""}"
branded-office-supplies-australia,product_category,category,Office & Desk,category,category; is_published,"{""type"":""category"",""category"":""Office & Desk""}"
custom-bags-australia,product_category,category,Bags,category,category; is_published,"{""type"":""category"",""category"":""Bags""}"
custom-branded-apparel-australia,product_category,category,Apparel,category,category; is_published,"{""type"":""category"",""category"":""Apparel""}"
custom-drinkware-australia,product_category,category,Drinkware,category,category; is_published,"{""type"":""category"",""category"":""Drinkware""}"
branded-pens-australia,product_category,category,Pens,category,category; is_published,"{""type"":""category"",""category"":""Pens""}"
corporate-tech-gifts-australia,product_category,category,Technology,category,category; is_published,"{""type"":""category"",""category"":""Technology""}"
custom-headwear-australia,product_category,category,Headwear,category,category; is_published,"{""type"":""category"",""category"":""Headwear""}"
custom-packaging-australia,product_category,category,Packaging,category,category; is_published,"{""type"":""category"",""category"":""Packaging""}"
branded-personal-care-products-australia,product_category,category,Personal Care,category,category; is_published,"{""type"":""category"",""category"":""Personal Care""}"
branded-pet-products-australia,product_category,category,Pet,category,category; is_published,"{""type"":""category"",""category"":""Pet""}"
promotional-toys-and-games-australia,product_category,category,Toys & Games,category,category; is_published,"{""type"":""category"",""category"":""Toys & Games""}"
custom-lanyards-australia,product_category,subcategory,Giveaways & Event Accessories > Lanyards,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Lanyards""}"
id-card-holders-australia,product_category,subcategory,Giveaways & Event Accessories > ID Holders,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""ID Holders""}"
custom-wristbands-australia,product_category,subcategory,Giveaways & Event Accessories > Wristbands,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Wristbands""}"
custom-badges-australia,product_category,subcategory,Giveaways & Event Accessories > Badges,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Badges""}"
custom-fridge-magnets-australia,product_category,subcategory,Giveaways & Event Accessories > Magnets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Magnets""}"
temporary-tattoos-australia,product_category,subcategory,Giveaways & Event Accessories > Temporary Tattoos,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Temporary Tattoos""}"
