supplier_sku,name,slug,category,subcategory,min_qty,product_image_fallback_count,pricing_tier_count,raw_supplier_sku,source_row_number,raw_colour_names_from_colour_options,raw_colour_option_row_count,colours_available_supplier,colours_available_appa,colour_image_file_names,product_image_file_name,alternate_views_image_file_names,suggested_status
BBPTS,Backyard Paddle Tennis Set,backyard-paddle-tennis-set-bbpts,Toys & Games,Games & Puzzles,1,4,2,BBPTS,182,Natural,0,,,,BBPTS BACKYARD PADDLE TENNIS SET LIFESTYLE.jpg,BBPTS BACKYARD PADDLE TENNIS SET CARRY BAG.jpg|BBPTS BACKYARD PADDLE TENNIS SET PADDLE.jpg|BBPTS BACKYARD PADDLE TENNIS SET TENNIS BALLS.jpg,ok_no_colour_options
BBQS,Backyard Quoits Set,backyard-quoits-set-bbqs,Toys & Games,Games & Puzzles,1,5,2,BBQS,343,Natural,0,,,,BBQS BACKYARD QUOITS SET_LIFESTYLE.jpg,BBQS BACKYARD QUOITS SET_CONTENTS.jpg|BBQS BACKYARD QUOITS SET_LIFESTYLE 2.jpg|BBQS BACKYARD QUOITS SET_CARRY BAG.jpg|BBQS BACKYARD QUOITS SET_CARRY BAG BACK.jpg,ok_no_colour_options
BBYCHS,Backyard Cornhole Set,backyard-cornhole-set-bbychs,Toys & Games,Games & Puzzles,1,10,2,BBYCHS,367,Natural,0,,,,bbychs-backyard-cornhole-set.jpg,bbychs-backyard-cornhole-set-lifestyle.jpg|bbychs-backyard-cornhole-set-contents.jpg|bbychs-backyard-cornhole-set-canvas-carry-bag-front.jpg|bbychs-backyard-cornhole-set-board-and-sand-bags.jpg|bbychs-backyard-cornhole-set-canvas-carry-bag-back.jpg|bbychs-backyard-cornhole-set-natural-wood-grain-board.jpg|bbychs-backyard-cornhole-set-top-view-of-board.jpg|bbychs-backyard-cornhole-set-sand-bag.jpg|bbychs-backyard-cornhole-set-sand-bag-back.jpg,ok_no_colour_options
BBYCQS,Backyard Croquet Set,backyard-croquet-set-bbycqs,Toys & Games,Games & Puzzles,1,6,2,BBYCQS,259,Natural,0,,,,BBYCQS BACKYARD CROQUET SET_LIFESTYLE.jpg,BBYCQS BACKYARD CROQUET SET_BAG HANDLES UP.jpg|BBYCQS BACKYARD CROQUET SET_MALLETS.jpg|BBYCQS BACKYARD CROQUET SET_WOODEN BALLS.jpg|BBYCQS BACKYARD CROQUET SET_BAG DECORATION HANDLES UP.jpg|BBYCQS BACKYARD CROQUET SET_LOGO.jpg,ok_no_colour_options
POAFS,Apero Fromage Set,apero-fromage-set-poafs,Home & Living,Cheese & Serving Boards,1,8,2,POAFS,347,Natural,0,,,,POAFS APERO FROMAGE SET_ IN PRESENTATION BOX WITH MAGNETIC CLOSURE.jpg,POAFS APERO FROMAGE SET_ CONTENTS.jpg|POAFS APERO FROMAGE SET_ ACACIA HARDWOOD BOARD.jpg|POAFS APERO FROMAGE SET_ CONTENTS ON BOARD.jpg|POAFS APERO FROMAGE SET_ CORKSCREW_STOPPER_KNIFE_FORK.jpg|POAFS APERO FROMAGE SET_ IN PRESENTATION BOX TOP VIEW.jpg|POAFS APERO FROMAGE SET_ IN PRESENTATION BOX.jpg|POAFS APERO FROMAGE SET_ LIFESTYLE.jpg,ok_no_colour_options
POAGC,Aroma Glass Coffee Cup Set,aroma-glass-coffee-cup-set-poagc,Drinkware,Glassware,1,5,2,POAGC,181,Clear,0,,,,POAGC AROMA GLASS COFFEE CUP SET_LIFESTYLE.jpg,POAGC AROMA COFFEE CUP SET_LIFESTYLE.jpg|POAGC AROMA GLASS COFFEE CUP SET_BOX.jpg|POAGC AROMA GLASS COFFEE CUP SET_CUP 1.jpg|POAGC AROMA GLASS COFFEE CUP SET_CUP 2.jpg,ok_no_colour_options
POBCGS,Beer Can Glass Set,beer-can-glass-set-pobcgs,Drinkware,Glassware,1,8,2,POBCGS,376,Clear,0,,,,pobcgs-beer-can-glass-set.jpg,pobcgs-beer-can-glass-set-in-presentation-box.jpg|pobcgs-beer-can-glass-set-lifestyle-2.jpg|pobcgs-beer-can-glass-set-lifestyle-1.jpg|pobcgs-beer-can-glass-set-glass.jpg|pobcgs-beer-can-glass-set-presentation-box-bottom.jpg|pobcgs-beer-can-glass-set-presentation-box-right.jpg|pobcgs-beer-can-glass-set-presentation-box-lid.jpg,ok_no_colour_options
POBCK,Bordeaux Cheese Knife 3 pcs Set,bordeaux-cheese-knife-3-pcs-set-pobck,Home & Living,Kitchen & Dining,1,5,2,POBCK,185,Natural,0,,,,POBCK.jpg,POBCK BORDEAUX CHEESE KNIFE SET LIFESTYLE.jpg|POBCK OPEN.jpg|POBCK KNIVES.jpg|POBCK_BOX.jpg,ok_no_colour_options
POBCS,Bordeaux Carving Set,bordeaux-carving-set-pobcs,Home & Living,Kitchen & Dining,1,5,2,POBCS,184,Natural,0,,,,POBCS BORDEAUX CARVING SET_GIFT BOX.jpg,POBCS BORDEAUX CARVING SET_LIFESTYLE.jpg|POBCS BORDEAUX CARVING SET_UTENSILS ON GIFT BOX.jpg|POBCS BORDEAUX CARVING SET_TOP VIEW.jpg|POBCS BORDEAUX CARVING SET.jpg,ok_no_colour_options
POBWD,Barolo Wine Decanter,barolo-wine-decanter-pobwd,Drinkware,Glassware,1,8,2,POBWD,349,Clear,0,,,,POBWD BAROLO WINE DECANTER_ CONTENTS IN PRESENTATION BOX.jpg,POBWD BAROLO WINE DECANTER.jpg|POBWD BAROLO WINE DECANTER_ CONTENTS.jpg|POBWD BAROLO WINE DECANTER_ LEAD FREE CRYSTAL GLASS.jpg|POBWD BAROLO WINE DECANTER_ LIFESTYLE.jpg|POBWD BAROLO WINE DECANTER_ NATURAL PINE BOX.jpg|POBWD BAROLO WINE DECANTER_ TOP VIEW OF BOX.jpg|POBWD BAROLO WINE DECANTER__INSERT CARD.jpg,ok_no_colour_options
