supplier,rate_card_key,decoration_method,applies_to,artwork_size_label,stitch_count_min,stitch_count_max,min_qty,max_qty,unit_cost,setup_cost,repeat_setup_cost,pricing_basis,price_status,surcharge_note,source_row_number,raw_price
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,60x60mm,,,25,49,5.25,55.00,,per_unit,priced,,283,$5.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,100x100mm,,,25,49,6.75,55.00,,per_unit,priced,,283,$6.75
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,210x150mm,,,25,49,8.00,55.00,,per_unit,priced,,283,$8.00
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,300x200mm,,,25,49,9.25,55.00,,per_unit,priced,,283,$9.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,60x60mm,,,50,99,4.50,55.00,,per_unit,priced,,284,$4.50
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,100x100mm,,,50,99,5.25,55.00,,per_unit,priced,,284,$5.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,210x150mm,,,50,99,6.25,55.00,,per_unit,priced,,284,$6.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,300x200mm,,,50,99,7.00,55.00,,per_unit,priced,,284,$7.00
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,60x60mm,,,100,249,4.00,55.00,,per_unit,priced,,285,$4.00
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,100x100mm,,,100,249,4.75,55.00,,per_unit,priced,,285,$4.75
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,210x150mm,,,100,249,5.25,55.00,,per_unit,priced,,285,$5.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,300x200mm,,,100,249,6.25,55.00,,per_unit,priced,,285,$6.25
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,60x60mm,,,250,,,55.00,,per_unit,poa,,286,POA
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,100x100mm,,,250,,,55.00,,per_unit,poa,,286,POA
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,210x150mm,,,250,,,55.00,,per_unit,poa,,286,POA
