supplier,supplier_sku,product_name,decoration_option_key,decoration_method,decoration_area,decoration_location,artwork_size_label,currency,min_qty,max_qty,unit_cost,setup_cost,repeat_setup_cost,pricing_basis,price_status,raw_price,source_row_number
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,AUD,1,,16.10,25.00,,per_unit,priced,$16.10,5
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,AUD,10,,13.50,25.00,,per_unit,priced,$13.50,5
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,AUD,25,,10.90,25.00,,per_unit,priced,$10.90,5
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,AUD,50,,10.70,25.00,,per_unit,priced,$10.70,5
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_100x120mm|100x120mm,UVDTF Full Colour - Large,Bottle - 100x120mm,Bottle,100x120mm,AUD,100,,10.50,25.00,,per_unit,priced,$10.50,5
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,AUD,1,,20.00,25.00,,per_unit,priced,$20.00,6
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,AUD,10,,16.10,25.00,,per_unit,priced,$16.10,6
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,AUD,25,,13.50,25.00,,per_unit,priced,$13.50,6
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,AUD,50,,13.30,25.00,,per_unit,priced,$13.30,6
Gear For Life,POAB,Absorption Bottle,poab|uvdtf_full_colour_large|bottle_200x150mm|200x150mm,UVDTF Full Colour - Large,Bottle - 200x150mm,Bottle,200x150mm,AUD,100,,13.00,25.00,,per_unit,priced,$13.00,6
