image_url,supplier_skus,image_roles,colour_names,sources,reference_count
.jpg,WSIVH,gallery,null,product_images,1
AN BLACK_GOLD.jpg,AN(C),gallery,null,product_images,1
AN BLACK_RED.jpg,AN(C),gallery,null,product_images,1
AN BLACK.jpg,"AN(P), AN(Y)",gallery,null,product_images,2
AN NAVY_RED.jpg,AN(C),gallery,null,product_images,1
AN NAVY_SKY.jpg,AN(C),gallery,null,product_images,1
AN NAVY.jpg,"AN(P), AN(Y)",gallery,null,product_images,2
AN(C).jpg,AN(C),main,null,product_images,1
AN(P).jpg,AN(P),main,null,product_images,1
ASBJ NAVY.jpg,ASBJ,gallery,null,product_images,1
ASBJ.jpg,ASBJ,main,null,product_images,1
ASROV BROWN.jpg,ASROV,gallery,null,product_images,1
ASROV.jpg,ASROV,main,null,product_images,1
BBB BASKET BACKPACK_BACK.jpg,BBB,gallery,null,product_images,1
BBB BASKET BACKPACK_BASKET BALL.jpg,BBB,main,null,product_images,1
BBB BASKET BACKPACK_FRONT.jpg,BBB,gallery,null,product_images,1
BBB BASKET BACKPACK_HARD HAT_1.jpg,BBB,gallery,null,product_images,1
BBB BASKET BACKPACK_HARD HAT.jpg,BBB,gallery,null,product_images,1
BBB BASKET BACKPACK_RIGHT.jpg,BBB,gallery,null,product_images,1
BBCC BOTTLE CADDY COOLER_FRONT.jpg,BBCC,gallery,null,product_images,1
BBCC BOTTLE CADDY COOLER_LEFT 1.jpg,BBCC,main,null,product_images,1
BBCC BOTTLE CADDY COOLER_LEFT 2.jpg,BBCC,gallery,null,product_images,1
BBCC BOTTLE CADDY COOLER_STRAP.jpg,BBCC,gallery,null,product_images,1
BBISC BISTRO COOLER_BLACK_BLACK_GREY - BACK.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_BLACK_BLACK_GREY - FRONT.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_BLACK_BLACK_GREY - LEFT 1.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_BLACK_BLACK_GREY - RIGHT.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_LIME_BLACK_GREY - BACK.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_LIME_BLACK_GREY - FRONT.jpg,BBISC,gallery,null,product_images,1
BBISC BISTRO COOLER_LIME_BLACK_GREY - LEFT  1.jpg,BBISC,gallery,null,product_images,1
