db_image_url,disk_file_if_present,issue_type,supplier_skus
BFCS-barkers-corporate-fremont-check-shirt-mens-back.jpg=,BFCS-barkers-corporate-fremont-check-shirt-mens-back.jpg,A_db_name_malformed_file_present,BFCS
BTGB TRANSPORTER-GARMENT-BAG-BLACK-SUIT-BAG,BTGB TRANSPORTER-GARMENT-BAG-BLACK-SUIT-BAG.jpg,A_db_name_malformed_file_present,BTGB
IGSCFAK-swiftcare-first-aid-kit-contents,IGSCFAK-swiftcare-first-aid-kit-contents.jpg,A_db_name_malformed_file_present,IGSCFAK
IGWFFJ-workfuel-750ml-food-jar-foldable-spoon,IGWFFJ-workfuel-750ml-food-jar-foldable-spoon.jpg,A_db_name_malformed_file_present,IGWFFJ
poatb-artisan-tasting-board-set-acacia-board-and-knife,poatb-artisan-tasting-board-set-acacia-board-and-knife.jpg,A_db_name_malformed_file_present,POATB
DGEP.jpg,,B_truly_absent,DGEP
FPV BLACK SIZES XS.jpg,,B_truly_absent,FPV
HJ BLACK HEATHER SIZES XXS-XS.jpg,,B_truly_absent,HJ
IGTTF-toughtank-2.0l-flask-dual cap design.jpg,,B_truly_absent,IGTTF
IGTTF-toughtank-2.0l-flask-gift-box-front.jpg,,B_truly_absent,IGTTF
IGVGMT-versagrip-multi-tool-functions.jpg,,B_truly_absent,IGVGMT
OHJ NAVY HEATHER SIZES XXS-XS.jpg,,B_truly_absent,OHJ
POHWGS HIGHLAND WHISKY GLASS SET_330ML GLASSES.jpg,,B_truly_absent,POHWGS
POHWGS HIGHLAND WHISKY GLASS SET_PRESENTATION TUBE.jpg,,B_truly_absent,POHWGS
POSSWG STEMLESS WINE GLASSES LIFESTYLE.jpg,,B_truly_absent,POSSWG
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-ANGLED-RIGHT.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-BACK.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-DETAIL.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-FRONT.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-LEFT.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-RIGHT.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK-UNROLLED-TOP.jpg,,B_truly_absent,SIBRTB
SIBRTB-SMPLI-BOUNCE-ROLL-TOP-BACKPACK.jpg,,B_truly_absent,SIBRTB
SIBRTB.jpg,,B_truly_absent,SIBRTB
SMJ BLACK SIZE S-5XL.jpg,,B_truly_absent,SMJ
TTMT OCEAN_NAVY.jpg,,B_truly_absent,TMT
.jpg,,B_truly_absent,WSIVH
TMT_WTMT.jpg,,B_truly_absent,WTMT
IGBCPK-bladecraft-pocket-knife.jpg,IGBCPK-BladeCraft-Pocket-Knife.jpg,C_case_mismatch,IGBCPK
IGSCFAK-swiftcare-first-aid-kit.jpg,IGSCFAK-SwiftCare-First-Aid-Kit.jpg,C_case_mismatch,IGSCFAK
IGVGMT-versagrip-multi-tool-gift-box-right.jpg,IGVGMT-VersaGrip-Multi-Tool-Gift-Box-Right.jpg,C_case_mismatch,IGVGMT
OWRWP ocean_NAVY.jpg,OWRWP OCEAN_NAVY.jpg,C_case_mismatch,OWRWP
