supplier,sku,product_name,source_field,raw_category_path,source_row_count
Gear For Life,AN(C),Contrast Basecamp Anorak,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,AN(P),Plain Basecamp Anorak,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,AN(Y),Youth Plain Basecamp Anorak,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,ASBJ,Agri Station Boundary Jersey,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,ASROV,Agri Station Ranger Oilskin Vest,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,BBB,Basket Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BBCC,Bottle Caddy Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BBISC,Bistro Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BBPTS,Backyard Paddle Tennis Set,Categorisation + category_ /_ sub category,Fun & Games / Games,1
Gear For Life,BBQS,Backyard Quoits Set,Categorisation + category_ /_ sub category,Fun & Games / Games,1
Gear For Life,BBR,Barkers Corporate Brooklyn Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BBT,Bus Travel Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BBYCHS,Backyard Cornhole Set,Categorisation + category_ /_ sub category,Fun & Games / Games,1
Gear For Life,BBYCQS,Backyard Croquet Set,Categorisation + category_ /_ sub category,Fun & Games / Games,1
Gear For Life,BBYCS,Backyard Cricket Set,Categorisation + category_ /_ sub category,Fun & Games / Games,1
Gear For Life,BCL,Barkers Corporate Clifton Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BCOS,Cool Shuttle,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BCR,Cool Runner,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BCTS,Contrast Gear Sports Bag,Categorisation + category_ /_ sub category,Bags / Sports Bags,1
Gear For Life,BCWJ,Barkers Corporate Carnaby Wool Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,BDUC,Duo Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BEBCC,EVA Big Chill Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BEC,Encore Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BEP,Barkers Corporate Eden Polo – Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,BES,Express Conference Satchel,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BFCS,Barkers Corporate Fremont Check Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BFGB,Fugitive Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BFLB,Fluid Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BFMC,Festival Music Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BGLB,Grid-Lock Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BGMB,Grommet Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BHC,Barkers Corporate Hudson Check Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BHPD,Haul Pro 100L Duffle,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BHVS,Hydrovent Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BHZQM,Barkers Corporate Highlander Merino – Mens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,BIB,Identity Brief Bag,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BICB,Identity Compu Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BKDS,Kodiak Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BKKS,Kamakazzi Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BLC,Barkers Corporate Lyndhurst Check Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BLD,Lansdowne Duffle,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BMA,Barkers Corporate Madison Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BMLB,Metro-Lock Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BMO,Milan Overnight Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BMS,Marine Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BNC,Nautical Cooler,Categorisation + category_ /_ sub category,Bags / Cooler Bags,1
Gear For Life,BNO,Barkers Corporate Norfolk Shirt – Mens,Categorisation + category_ /_ sub category,clothing / Shirts,1
Gear For Life,BNWB,Network Compu Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BOC,Barkers Corporate Outland Check Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BOR,Barkers Corporate Origin Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BOTH,Orbit Trolley Hardcase,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BPOB,Portal Brief Bag,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BPOCB,Portal Compu Backpack,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BPS,Plain Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BQU,Barkers Corporate Quadrant Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BRCS,Recon Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BRFB,Reflex Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BRFS,Reflex Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BRS,Reactor Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BRTS,Road Trip Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BSB,Sports Blanket,Categorisation + category_ /_ sub category,Leisure & outdoors / Picnic Rugs,1
Gear For Life,BSC,Barkers Corporate Stamford Check Shirt – Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,BSLB,Stealth Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BSM,Satellite Messenger Bag,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BSPB,Spliced Zenith Backpack,Categorisation + category_ /_ sub category,Bags / Backpacks,1
Gear For Life,BSPS,Spliced Zenith Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BST,Solitude Travel Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BT,Ballistic Top,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,BTGB,Transporter Garment Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BTLT,Turbulence Travel Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BTNT,Transit Travel Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BTS,Trekker Sports Bag,Categorisation + category_ /_ sub category,Bags / Duffle/Sports Bags,1
Gear For Life,BTT,Terminal Travel Bag,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BTY,Barkers Corporate Tyler Shirt – Mens,Categorisation + category_ /_ sub category,clothing / Shirts,1
Gear For Life,BUCB,Urban Compu Brief Bag,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BVTB,Voyager Trolley Backpack,Categorisation + category_ /_ sub category,Bags / Travel Bags,1
Gear For Life,BWIB,Wired Brief Bag,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BWICB,Wired Compu Backpack,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,BYB,Y-Byte Compu Backpack,Categorisation + category_ /_ sub category,Bags / Laptops,1
Gear For Life,CWJ,Crosswinds Jacket,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,DET,Youth Detailed Polar Fleece Pullover,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,DET(Y),Detailed Polar Fleece Pullover,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,DGAXP,Dri Gear Axis Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGCHP,Dri Gear Challenger Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGCHP(Y),Youth Dri Gear Challenger Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGCP,Dri Gear Corporate Pinnacle Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGDP,Dri Gear Dimension Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGEP,Dri Gear Eyelet Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGHP,Dri Gear Hype Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGIP,Dri Gear Insert Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGLAXP,Dri Gear Long Sleeve Axis Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGLHP,Dri Gear Long Sleeve Hype Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGLS,Dri Gear Long Sleeve Tee - Mens,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,DGMLP,Dri Gear Melange Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGMP,Dri Gear Matrix Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGOL,Dri Gear Ottoman Lite Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGP,Dri Gear Active Polo - Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGPO,Dri Gear Piped Ottoman Instinct Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGR,Dri Gear Plain Raglan Tee - Mens,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,DGREP,Dri Gear Renew Eco Polo – Mens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGRFP,Dri Gear Reflex Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGRFP(Y),Youth Dri Gear Reflex Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGRFZ,Dri Gear Reflex Zip Pullover,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,DGRFZ(Y),Youth Dri Gear Reflex Zip Pullover,Categorisation + category_ /_ sub category,Clothing / Pullovers,1
Gear For Life,DGSH,Dri Gear Shorts - Mens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,DGSP,Dri Gear Spliced Zenith Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGSP(I),Dri Gear Spliced Zenith Impact Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGSP(Y),Youth Dri Gear Spliced Zenith Polo,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,DGST,Dri Gear Spliced Zenith Tee,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
