supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note
Gear For Life,Categorisation + category_ /_ sub category,Clothing,DGXS,Dri Gear XTF Shorts - Mens,auto_mapped_by_keyword,Apparel,Pants & Shorts,0.9,APP-080,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing,WDGXS,Dri Gear XTF Shorts - Womens,auto_mapped_by_keyword,Apparel,Pants & Shorts,0.9,APP-080,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,DET,Youth Detailed Polar Fleece Pullover,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,DET(Y),Detailed Polar Fleece Pullover,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,EMJ,Explorer Microfleece Jacket,auto_mapped_by_keyword,Apparel,Jackets,0.88,APP-050,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,IPJ,Ice Vista Jacket - Mens,auto_mapped_by_keyword,Apparel,Jackets,0.88,APP-050,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,OIPV,Ice Vista Vest - Mens,auto_mapped_by_keyword,Apparel,Vests,0.9,APP-070,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Fleece,OVT,Vantage Top,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,BHZQM,Barkers Corporate Highlander Merino – Mens,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,EGAB,Merino Arctic Beanie,auto_mapped_by_keyword,Headwear,Beanies,0.95,HEAD-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,EGMDP,Merino Detailed Vee Pullover - Mens,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,EGMFV,Merino Fully Fashioned Vest - Mens,auto_mapped_by_keyword,Apparel,Vests,0.9,APP-070,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,EGMSP,Merino Short Sleeve Polo - Mens,auto_mapped_by_keyword,Apparel,Polo Shirts,0.94,APP-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,EGMZ,Merino Zip Pullover - Mens,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,OEGMFV,Merino Fully Fashioned Vest - Mens,auto_mapped_by_keyword,Apparel,Vests,0.9,APP-070,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,OWEGMFV,Merino Fully Fashioned Vest - Womens,auto_mapped_by_keyword,Apparel,Vests,0.9,APP-070,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,WEGMCD,Merino Cardigan - Womens,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Merino,WEGMDP,Merino Detailed Vee Pullover - Womens,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
