product_code,product_name,group,image_count,r2_filenames_needed,colours
129577,Sabian Lunch Cooler Bag,Bags,1,129577-1.webp,Natural
129578,Aden Lunch Cooler Bag,Bags,1,129578-1.webp,Natural
129580,Eon Spinner Pen,Pens,1,129580-1.webp,"Gunmetal, White, Yellow, Orange, Red, Forest Green, Light Blue, Royal Blue, Navy, Black"
129615,Cora Coffee Mug,Drinkware,1,129615-1.webp,"White, Yellow, Orange, Red, Bright Green, Teal, Light Blue, Dark Blue, Black."
129621,Frontier Ridge Beanie,Apparel,1,129621-1.webp,"Ecru, Pine Green, Black"
129665,Corsica Coffee Cup,Drinkware,1,129665-1.webp,"White, Yellow, Orange, Pink, Red, Bright Green, Dark Green, Teal, Light Blue, Royal Blue, Navy, Purple, Black."
129689,SPICE Waste2Gear Umbrella,Outdoor,1,129689-1.webp,Black
129697,Barista Stackable Coffee Mug,Drinkware,1,129697-1.webp,"Ecru, White, Red, Royal Blue, Dark Grey, Black"
129698,Baseline Pickleball Set,Outdoor,1,129698-1.webp,Paddles: Black. Carry Bag: Black
129699,Neoprene Cup Sleeve - Small,Drinkware,1,129699-1.webp,Can be produced in almost any colour
129700,Neoprene Cup Sleeve - Medium,Drinkware,1,129700-1.webp,Can be produced in almost any colour
129702,PVC Key Covers,Key Rings,1,129702-1.webp,Can be produced in almost any colour
129704,Pulse Sports Cap,Headwear,1,129704-1.webp,Black
129721,Sonny Custom Bucket Hat with Full Colour Patch,Headwear,1,129721-1.webp,Bucket Hat: Can be produced in almost any colour
129722,Sonny Custom Bucket Hat with Embroidery Patch,Headwear,1,129722-1.webp,Bucket Hat: Can be produced in almost any colour
129723,Terry Towelling Bucket Hat with Full Colour Patch,Headwear,1,129723-1.webp,Bucket Hat: Can be produced in almost any colour
129724,Custom Reversible Twill/Terry Bucket Hat,Headwear,1,129724-1.webp,Can be produced in almost any colour
129725,Cabana Custom Wide Brim Hat,Headwear,1,129725-1.webp,Can be produced in almost any colour
129726,Custom Cozy Socks,Apparel,1,129726-1.webp,Can be produced in almost any colour
129728,Custom Elastic Headband,Apparel,1,129728-1.webp,Can be produced in almost any colour
129729,Custom Lightweight Scarf,Apparel,1,129729-1.webp,Can be produced in almost any colour
129730,Custom Knitted Slippers,Apparel,1,129730-1.webp,Can be produced in almost any colour
129734,Frontier Rapid Dry Towel,Outdoor,1,129734-1.webp,Towel: Olive.
129735,Frontier Torrent Camping Blanket,Outdoor,1,129735-1.webp,Black
133391,Custom Mens Active Tank Top,Apparel,1,133391-1.webp,Can be produced in almost any colour.
133392,Custom Womens Active Tank Top,Apparel,1,133392-1.webp,Can be produced in almost any colour.
133393,Custom Youth Active Tank Top,Apparel,1,133393-1.webp,Can be produced in almost any colour.
133394,Custom Mens Active T-Shirt,Apparel,1,133394-1.webp,Can be produced in almost any colour.
133395,Custom Womens Active T-Shirt,Apparel,1,133395-1.webp,Can be produced in almost any colour.
133396,Custom Youth Active T-Shirt,Apparel,1,133396-1.webp,Can be produced in almost any colour.
133397,Custom Mens Active V-Neck T-Shirt,Apparel,1,133397-1.webp,Can be produced in almost any colour.
133398,Custom Womens Active V-Neck T-Shirt,Apparel,1,133398-1.webp,Can be produced in almost any colour.
133399,Custom Mens Active Polo,Apparel,1,133399-1.webp,Can be produced in almost any colour.
133400,Custom Womens Active Polo,Apparel,1,133400-1.webp,Can be produced in almost any colour.
133401,Custom Youth Active Polo,Apparel,1,133401-1.webp,Can be produced in almost any colour.
133402,Custom Mens Active Pants,Apparel,1,133402-1.webp,Can be produced in almost any colour.
133403,Custom Womens Active Pants,Apparel,1,133403-1.webp,Can be produced in almost any colour.
133404,Custom Youth Active Pants,Apparel,1,133404-1.webp,Can be produced in almost any colour.
133405,Custom Mens Active Shorts,Apparel,1,133405-1.webp,Can be produced in almost any colour.
133406,Custom Womens Active Shorts,Apparel,1,133406-1.webp,Can be produced in almost any colour.
133407,Custom Youth Active Shorts,Apparel,1,133407-1.webp,Can be produced in almost any colour.
133562,Cruise Custom Cap with Full Colour Patch,Headwear,1,133562-1.webp,Cap: Can be produced in almost any colour
133563,Falcon Custom Cap with Full Colour Patch,Headwear,1,133563-1.webp,Cap: Can be produced in almost any colour
133655,Custom Mens Active Hoodie,Apparel,1,133655-1.webp,Can be produced in almost any colour.
133656,Custom Womens Active Hoodie,Apparel,1,133656-1.webp,Can be produced in almost any colour.
133657,Custom Youth Active Hoodie,Apparel,1,133657-1.webp,Can be produced in almost any colour.
133807,Kadi Carry-On Suitcase - Business,Travel,1,133807-1.webp,Charcoal
133808,Kadi Carry-On Suitcase - Leisure,Travel,1,133808-1.webp,Pebble
133809,Kadi Check-In Suitcase - Medium,Travel,1,133809-1.webp,Charcoal
133810,Kadi Check-In Suitcase - Large,Travel,1,133810-1.webp,Charcoal
133811,Skullcandy Icon 180 Wireless Headphones,Tech,1,133811-1.webp,Black
133812,HangFindy Bluetooth Tracker,Tech,1,133812-1.webp,"White, Black."
133813,Bodum Brazil French Press 1L,Drinkware,1,133813-1.webp,Black
133814,Bodum Brazil French Press 350ml,Drinkware,1,133814-1.webp,Black
133815,Bodum Assam Tea Press,Drinkware,1,133815-1.webp,Black
133816,Bodum Pavina Double Wall Glasses - Medium - Set of 2,Drinkware,1,133816-1.webp,Clear
133817,Bodum Bistro Double Wall Mugs - Set of 2,Drinkware,1,133817-1.webp,Clear
133818,Bodum Pavina Double Wall Glasses - Large - Set of 2,Drinkware,1,133818-1.webp,Clear
