product_code,product_name,colour_count,colour_names
104077,Special Design AD Labels,2,Clear | White
110097,Spark Stylus Pen - White Barrel,1,Red
112387,Delphi Phone Stand,1,White/Clear
112527,Carnival Tumbler,1,Black
113599,3-in-1 Lens Kit,1,Black
114374,Marble Soft Cover Notebook,1,Black/White
115061,Aztec Double Wall Coffee Cup - Full Colour,5,Cup: White | Lid: White | Red | Bright Green | Black
115062,Aztec Double Wall Coffee Cup,5,Cup: White | Lid: White | Red | Bright Green | Black
116347,Express Cup - Double Wall,16,Cup: Black.    Lid: White | Bright Green | Black | Band: Grey | White | Yellow | Orange | Pink | Red | Dark Green | Teal | Light Blue | Dark Blue | Navy | Purple | Flip Piece: Grey
116857,City Shopper Heather Tote Bag,1,Grey
116950,Velocity Tote Bag,1,Grey
118875,Hybrid Leakproof Glass Vacuum Bottle,1,Black
121298,IdealCup - 355ml,6,Cup: White | Black | Lid: Just White | Mellow Yellow | Fire Engine Red | Kermit Green
121849,Cossack Mule Mug,2,Copper | Silver
126433,IdealCup - 470ml,5,Cup: All Black | Lid: Just White | Mellow Yellow | Fire Engine Red | Kermit Green
129226,TRENDS Large Volume Refill,1,White
129577,Sabian Lunch Cooler Bag,1,Natural
129578,Aden Lunch Cooler Bag,1,Natural
129580,Eon Spinner Pen,10,Gunmetal | White | Yellow | Orange | Red | Forest Green | Light Blue | Royal Blue | Navy | Black
129615,Cora Coffee Mug,9,White | Yellow | Orange | Red | Bright Green | Teal | Light Blue | Dark Blue | Black
129621,Frontier Ridge Beanie,3,Ecru | Pine Green | Black
129665,Corsica Coffee Cup,13,White | Yellow | Orange | Pink | Red | Bright Green | Dark Green | Teal | Light Blue | Royal Blue | Navy | Purple | Black
129689,SPICE Waste2Gear Umbrella,1,Black
129697,Barista Stackable Coffee Mug,6,Ecru | White | Red | Royal Blue | Dark Grey | Black
129698,Baseline Pickleball Set,2,Paddles: Black. Carry Bag: Black | Balls: White
129699,Neoprene Cup Sleeve - Small,1,Can be produced in almost any colour
129700,Neoprene Cup Sleeve - Medium,1,Can be produced in almost any colour
129702,PVC Key Covers,1,Can be produced in almost any colour
129704,Pulse Sports Cap,1,Black
129721,Sonny Custom Bucket Hat with Full Colour Patch,3,Bucket Hat: Can be produced in almost any colour | Patch Edges: White | Black
129722,Sonny Custom Bucket Hat with Embroidery Patch,3,Bucket Hat: Can be produced in almost any colour | Patch Edges: White | Black
129723,Terry Towelling Bucket Hat with Full Colour Patch,3,Bucket Hat: Can be produced in almost any colour | Patch Edges: White | Black
129724,Custom Reversible Twill/Terry Bucket Hat,1,Can be produced in almost any colour
129725,Cabana Custom Wide Brim Hat,1,Can be produced in almost any colour
129726,Custom Cozy Socks,1,Can be produced in almost any colour
129728,Custom Elastic Headband,1,Can be produced in almost any colour
129729,Custom Lightweight Scarf,1,Can be produced in almost any colour
129730,Custom Knitted Slippers,1,Can be produced in almost any colour
129734,Frontier Rapid Dry Towel,2,Towel: Olive | Pouch: Black
129735,Frontier Torrent Camping Blanket,1,Black
133391,Custom Mens Active Tank Top,1,Can be produced in almost any colour
133392,Custom Womens Active Tank Top,1,Can be produced in almost any colour
133393,Custom Youth Active Tank Top,1,Can be produced in almost any colour
133394,Custom Mens Active T-Shirt,1,Can be produced in almost any colour
133395,Custom Womens Active T-Shirt,1,Can be produced in almost any colour
133396,Custom Youth Active T-Shirt,1,Can be produced in almost any colour
133397,Custom Mens Active V-Neck T-Shirt,1,Can be produced in almost any colour
133398,Custom Womens Active V-Neck T-Shirt,1,Can be produced in almost any colour
133399,Custom Mens Active Polo,3,Can be produced in almost any colour | Buttons - Clear | White or Black
133400,Custom Womens Active Polo,3,Can be produced in almost any colour | Buttons - Clear | White or Black
133401,Custom Youth Active Polo,3,Can be produced in almost any colour | Buttons - Clear | White or Black
133402,Custom Mens Active Pants,2,Can be produced in almost any colour | Drawstring - White or Black
133403,Custom Womens Active Pants,2,Can be produced in almost any colour | Drawstring - White or Black
133404,Custom Youth Active Pants,2,Can be produced in almost any colour | Drawstring - White or Black
133405,Custom Mens Active Shorts,2,Can be produced in almost any colour | Drawstring - White or Black
133406,Custom Womens Active Shorts,2,Can be produced in almost any colour | Drawstring - White or Black
133407,Custom Youth Active Shorts,2,Can be produced in almost any colour | Drawstring - White or Black
133562,Cruise Custom Cap with Full Colour Patch,3,Cap: Can be produced in almost any colour | Patch Edges: White | Black
133563,Falcon Custom Cap with Full Colour Patch,3,Cap: Can be produced in almost any colour | Patch Edges: White | Black
133655,Custom Mens Active Hoodie,2,Can be produced in almost any colour | Drawstring - White or Black
133656,Custom Womens Active Hoodie,2,Can be produced in almost any colour | Drawstring - White or Black
133657,Custom Youth Active Hoodie,2,Can be produced in almost any colour | Drawstring - White or Black
133807,Kadi Carry-On Suitcase - Business,1,Charcoal
133808,Kadi Carry-On Suitcase - Leisure,1,Pebble
133809,Kadi Check-In Suitcase - Medium,1,Charcoal
133810,Kadi Check-In Suitcase - Large,1,Charcoal
133811,Skullcandy Icon 180 Wireless Headphones,1,Black
133812,HangFindy Bluetooth Tracker,2,White | Black
133813,Bodum Brazil French Press 1L,1,Black
133814,Bodum Brazil French Press 350ml,1,Black
133815,Bodum Assam Tea Press,1,Black
133816,Bodum Pavina Double Wall Glasses - Medium - Set of 2,1,Clear
133817,Bodum Bistro Double Wall Mugs - Set of 2,1,Clear
133818,Bodum Pavina Double Wall Glasses - Large - Set of 2,1,Clear
