group,is_sale,product_code,product_name
Other,,104077,Special Design AD Labels
Other,,114374,Marble Soft Cover Notebook
Other,Y,127156,Genoa Soft Cover Notebook - Large - Sale
Other,,129689,SPICE Waste2Gear Umbrella
Other,,129698,Baseline Pickleball Set
Other,,129702,PVC Key Covers
Other,,129734,Frontier Rapid Dry Towel
Other,,129735,Frontier Torrent Camping Blanket
Pens,,110097,Spark Stylus Pen - White Barrel
Pens,Y,129123,Aspen Travel Mug - Sale
Pens,,129580,Eon Spinner Pen
Tech,,112387,Delphi Phone Stand
Tech,,113599,3-in-1 Lens Kit
Tech,,133811,Skullcandy Icon 180 Wireless Headphones
Tech,,133812,HangFindy Bluetooth Tracker
Drinkware/Coffee,,112527,Carnival Tumbler
Drinkware/Coffee,,115061,Aztec Double Wall Coffee Cup - Full Colour
Drinkware/Coffee,,115062,Aztec Double Wall Coffee Cup
Drinkware/Coffee,,116347,Express Cup - Double Wall
Drinkware/Coffee,,118875,Hybrid Leakproof Glass Vacuum Bottle
Drinkware/Coffee,,121298,IdealCup - 355ml
Drinkware/Coffee,,121849,Cossack Mule Mug
Drinkware/Coffee,,126433,IdealCup - 470ml
Drinkware/Coffee,Y,129139,Duke Bottle - Sale
Drinkware/Coffee,Y,129150,Intrepid Bottle - 800ml - Sale
Drinkware/Coffee,Y,129203,Madrid Coffee Mug - Two-Tone - Sale
Drinkware/Coffee,,129226,TRENDS Large Volume Refill
Drinkware/Coffee,,129615,Cora Coffee Mug
Drinkware/Coffee,,129665,Corsica Coffee Cup
Drinkware/Coffee,,129697,Barista Stackable Coffee Mug
Drinkware/Coffee,,129699,Neoprene Cup Sleeve - Small
Drinkware/Coffee,,129700,Neoprene Cup Sleeve - Medium
Drinkware/Coffee,,133813,Bodum Brazil French Press 1L
Drinkware/Coffee,,133814,Bodum Brazil French Press 350ml
Drinkware/Coffee,,133815,Bodum Assam Tea Press
Drinkware/Coffee,,133816,Bodum Pavina Double Wall Glasses - Medium - Set of 2
Drinkware/Coffee,,133817,Bodum Bistro Double Wall Mugs - Set of 2
Drinkware/Coffee,,133818,Bodum Pavina Double Wall Glasses - Large - Set of 2
Bags,,116857,City Shopper Heather Tote Bag
Bags,,116950,Velocity Tote Bag
Bags,Y,120534,Delta Tote Bag - Sale
Bags,Y,127159,Lanza Jute Tote Bag - Sale
Bags,Y,127163,Monza Jute Tote Bag - Colour Match - Sale
Bags,Y,127166,Soho Messenger Bag - Sale
Bags,Y,129144,Frost Cooler Bag - Sale
Bags,Y,129164,Jute Wine Drawstring Bag - Sale
Bags,Y,129181,Siberia Cooler Bag - Sale
Bags,,129577,Sabian Lunch Cooler Bag
Bags,,129578,Aden Lunch Cooler Bag
Apparel(Active/配饰),,129621,Frontier Ridge Beanie
Apparel(Active/配饰),,129726,Custom Cozy Socks
Apparel(Active/配饰),,129728,Custom Elastic Headband
Apparel(Active/配饰),,129729,Custom Lightweight Scarf
Apparel(Active/配饰),,129730,Custom Knitted Slippers
Apparel(Active/配饰),,133391,Custom Mens Active Tank Top
Apparel(Active/配饰),,133392,Custom Womens Active Tank Top
Apparel(Active/配饰),,133393,Custom Youth Active Tank Top
Apparel(Active/配饰),,133394,Custom Mens Active T-Shirt
Apparel(Active/配饰),,133395,Custom Womens Active T-Shirt
Apparel(Active/配饰),,133396,Custom Youth Active T-Shirt
Apparel(Active/配饰),,133397,Custom Mens Active V-Neck T-Shirt
Apparel(Active/配饰),,133398,Custom Womens Active V-Neck T-Shirt
Apparel(Active/配饰),,133399,Custom Mens Active Polo
Apparel(Active/配饰),,133400,Custom Womens Active Polo
Apparel(Active/配饰),,133401,Custom Youth Active Polo
Apparel(Active/配饰),,133402,Custom Mens Active Pants
Apparel(Active/配饰),,133403,Custom Womens Active Pants
Apparel(Active/配饰),,133404,Custom Youth Active Pants
Apparel(Active/配饰),,133405,Custom Mens Active Shorts
Apparel(Active/配饰),,133406,Custom Womens Active Shorts
Apparel(Active/配饰),,133407,Custom Youth Active Shorts
Apparel(Active/配饰),,133655,Custom Mens Active Hoodie
Apparel(Active/配饰),,133656,Custom Womens Active Hoodie
Apparel(Active/配饰),,133657,Custom Youth Active Hoodie
Headwear,,129704,Pulse Sports Cap
Headwear,,129721,Sonny Custom Bucket Hat with Full Colour Patch
Headwear,,129722,Sonny Custom Bucket Hat with Embroidery Patch
Headwear,,129723,Terry Towelling Bucket Hat with Full Colour Patch
Headwear,,129724,Custom Reversible Twill/Terry Bucket Hat
Headwear,,129725,Cabana Custom Wide Brim Hat
Headwear,,133562,Cruise Custom Cap with Full Colour Patch
Headwear,,133563,Falcon Custom Cap with Full Colour Patch
Travel(行李箱),,133807,Kadi Carry-On Suitcase - Business
Travel(行李箱),,133808,Kadi Carry-On Suitcase - Leisure
Travel(行李箱),,133809,Kadi Check-In Suitcase - Medium
Travel(行李箱),,133810,Kadi Check-In Suitcase - Large
